window_id,clap_sing,clap_speak,clap_logit_diff,clap_ok,error
-3BTKFtZldo_000,-2.1927233,-0.79588562,-1.3968377,1,
-3BTKFtZldo_001,-3.1021779,-0.54621881,-2.555959,1,
-3BTKFtZldo_002,-2.3589005,0.28433159,-2.6432321,1,
-9oY4_qcCfg_000,-2.5959332,-2.8349559,0.23902273,1,
-9oY4_qcCfg_001,1.632225,-0.94382179,2.5760468,1,
-9oY4_qcCfg_002,1.7035875,0.89819002,0.80539751,1,
-9oY4_qcCfg_003,0.85593575,1.0788792,-0.22294348,1,
-9oY4_qcCfg_004,1.7428559,1.2924078,0.45044816,1,
-9oY4_qcCfg_005,-2.4636109,-2.7960939,0.33248305,1,
-9oY4_qcCfg_006,0.56388998,0.84854376,-0.28465378,1,
-9oY4_qcCfg_007,2.0702162,0.52070028,1.5495159,1,
-9oY4_qcCfg_008,0.38419756,0.84449506,-0.4602975,1,
-9oY4_qcCfg_009,-0.28234994,-2.4447472,2.1623973,1,
-9oY4_qcCfg_010,-0.12876616,-0.54682237,0.4180562,1,
-9oY4_qcCfg_011,1.9949445,2.0341661,-0.039221644,1,
-9oY4_qcCfg_012,0.65562856,1.0478542,-0.39222562,1,
-9oY4_qcCfg_013,-0.66113716,-0.11585123,-0.54528593,1,
-9oY4_qcCfg_014,0.026785582,-2.7781568,2.8049423,1,
-9oY4_qcCfg_015,-2.86676,-0.82458019,-2.0421798,1,
-RGj8xb9R8A_000,-0.87585312,0.097198762,-0.97305188,1,
-RGj8xb9R8A_001,-1.1854845,1.8016957,-2.9871802,1,
-RGj8xb9R8A_002,-1.9857848,0.31212407,-2.2979088,1,
-RGj8xb9R8A_003,-3.4332836,-0.38427225,-3.0490113,1,
-ZzrfGa0S0w_000,-0.98630482,0.47252584,-1.4588307,1,
-ZzrfGa0S0w_001,0.501288,-1.0023818,1.5036698,1,
-ZzrfGa0S0w_002,-2.6299958,-0.33811364,-2.2918822,1,
-ZzrfGa0S0w_003,-2.7855437,0.53472215,-3.3202658,1,
-ZzrfGa0S0w_004,-1.8612088,-0.91603881,-0.94516999,1,
-ZzrfGa0S0w_005,-0.14716968,2.2668436,-2.4140132,1,
-ZzrfGa0S0w_006,-3.4247334,-1.781076,-1.6436574,1,
-ZzrfGa0S0w_007,0.10907347,-0.26440543,0.3734789,1,
-ZzrfGa0S0w_008,-1.3077575,0.4140389,-1.7217964,1,
-ZzrfGa0S0w_009,-0.94679481,-1.4642627,0.51746792,1,
-ZzrfGa0S0w_010,-2.2068043,-3.018194,0.81138968,1,
-ZzrfGa0S0w_011,-1.1451768,-2.976162,1.8309852,1,
-ZzrfGa0S0w_012,-2.4920185,-0.79085541,-1.7011631,1,
-agnQ40mEM8_000,-4.573781,-2.9804342,-1.5933468,1,
-agnQ40mEM8_001,-4.6419992,-3.0887129,-1.5532863,1,
-agnQ40mEM8_002,-3.7414203,-0.60408014,-3.1373401,1,
-duPp9s1JzQ_000,0.90928239,0.055596028,0.85368636,1,
-duPp9s1JzQ_001,-1.7219517,0.95155931,-2.673511,1,
-duPp9s1JzQ_002,-1.6363517,0.69161195,-2.3279637,1,
-duPp9s1JzQ_003,-1.8720361,0.8110733,-2.6831094,1,
-duPp9s1JzQ_004,-3.9032223,-2.3346078,-1.5686145,1,
-duPp9s1JzQ_005,-0.2170881,2.187129,-2.4042171,1,
-duPp9s1JzQ_006,-3.5362055,-1.7430415,-1.793164,1,
-duPp9s1JzQ_007,2.6472301,2.3813143,0.26591587,1,
-duPp9s1JzQ_008,-4.7172122,-2.8143158,-1.9028964,1,
-duPp9s1JzQ_009,-0.41969687,1.2890564,-1.7087533,1,
-duPp9s1JzQ_010,-3.917156,-3.2233348,-0.69382119,1,
-duPp9s1JzQ_011,-1.1130618,-3.2247782,2.1117164,1,
-duPp9s1JzQ_012,-3.1656532,-2.0857387,-1.0799146,1,
-uB4Z9Vdv3E_000,-3.2608786,-0.25576663,-3.0051119,1,
