ym,n_syl,agree,n_vid
2024-02,2643,0.8463866818009838,11
2024-03,1853,0.8764166216945494,6
2024-04,1614,0.8475836431226765,8
2024-05,2492,0.8330658105939005,8
2024-06,3027,0.8909811694747275,17
2024-07,2150,0.8641860465116279,11
2024-08,6374,0.8352682773768434,29
2024-09,4791,0.7795867251095805,21
2024-10,4745,0.7624868282402529,16
2024-11,2780,0.8,14
2024-12,5931,0.8587084808632608,10
2025-01,3567,0.6736753574432296,10
2025-02,7254,0.6417149159084643,10
2025-04,502,0.6274900398406374,2
2025-05,1788,0.7181208053691275,11
2025-06,4186,0.8150979455327282,21
2025-07,4476,0.7750223413762288,20
2025-08,1449,0.8095238095238095,4
2025-09,2016,0.875,10
2025-10,3570,0.7753501400560224,19
2025-11,1664,0.8527644230769231,12
2025-12,4460,0.8367713004484305,19
2026-01,1019,0.8420019627085378,8
2026-02,608,0.8421052631578947,9
2026-03,1955,0.7335038363171356,11
2026-04,2004,0.8727544910179641,2
2026-05,62,0.9032258064516129,1
2026-06,239,0.8158995815899581,1
2026-07,1666,0.6284513805522209,6
