video_id,title,upload_date,year,n_syllables,mean_agreement,speech_s
9T8KWGl2ZZQ,【有一種魅力叫「鍾玲玲」】點止「正」咁簡單！,20251202,2025,15,1.0,4.83
zQ74tQFIXZU,《小毛蟲找媽媽》廣東話創作兒歌,20260716,2026,3,1.0,2.02
iG1olu8M82U,【鍾玲玲主唱 You are the sunshine of my life】你是我生命中的陽光，正是為何常在你身邊；你是我心目中的珍寶，你將永遠留在我心中,20260113,2026,45,0.9777777777777777,130.56
z0d7n9QxYiE,【黎愛蓮唱 The End of the World】愛蓮小龍一段緣，跌宕廻旋情虧損；往昔恩情恨柔柔，與君相逢泯恩仇,20260123,2026,37,0.972972972972973,114.24
5wSWQYFvHwk,【《滕王閣序》王勃】落霞與孤鶩齊飛，秋水共長天一色,20250917,2025,154,0.9675324675324676,51.23
h0ZHAVQQ9O8,【青青河邊草】唔記得「吳君麗」都記得佢唱呢隻歌！,20260310,2026,52,0.9423076923076923,16.7
3gtSu-CaA6o,【7個銅錢分兩份】估一個廣東話歇後語（2個答案）,20251215,2025,105,0.9333333333333333,34.84
c8dFl2bw9JM,【千古愛情真諦觀】金風玉露一相逢，便勝卻人間無數；兩情若是久長時，又豈在朝朝暮暮,20250911,2025,283,0.9328621908127208,94.59
EeylsOcnkV0,【劉德華式-天長地久，曾經擁有】天涯地角有窮時，只有相思無盡處；愛之深，分更痛！,20251008,2025,72,0.9305555555555556,28.22
xGhoDgFe8GQ,李小龍「副偈」可以去到咩位？,20260717,2026,139,0.9280575539568345,40.38
2a1fdlEvm-s,"【李小龍「再度」演繹】英文 ""Be Water"" vs 廣東話 ""如水""",20250915,2025,53,0.9245283018867925,55.49
_dwdlOSiQKY,《加國偶拾》一家大細十一口，出嚟散步唞一唞；有草順便咬幾口，這樣人生可會愁,20250524,2025,62,0.9193548387096774,22.71
PlLXRExhFhk,【元宵佳節至佳句】月上柳梢頭，人約黃昏後,20260303,2026,60,0.9166666666666666,30.04
bV9ttkn0vCo,【蕭芳芳同郭富城嘅第1次】芳芳城城兩代人，兩位同為跳舞神；攬身貼面跳探戈，一出場就撻著火,20250430,2025,48,0.9166666666666666,19.35
QjWjr1eyqDA,【鍾玲玲主唱《假惺惺》(Let’s Pretend)】我明知你會變心，呃我氹我都相信,20260228,2026,35,0.9142857142857143,75.01
