video_id,title,upload_date,year,n_syllables,mean_agreement,speech_s
CfZWjk-lBJs,【鍾玲玲主唱麗的《電視人77》主題曲】在我你的人生史，曾遇甜蜜痛苦事；不知此刻在扮誰，是我你的醒與醉,20260301,2026,336,0.4583333333333333,197.9
VIXesMqwTbk,《唐山大兄》由李小龍自己唱返先至啱數！,20260315,2026,219,0.4703196347031963,87.39
d6Pn3NXtw7U,【任劍輝「嗒糖」芳艷芬】豔芬雖已作人妻，端莊吸引任劍輝；原來一早已心繫，無怪魂魄都唔齊,20250516,2025,251,0.4900398406374502,67.7
ebFxWLJbxMY,【沙田靈犬忌廉】人見人愛小忌廉，佢話同你拜個年；小狗得意有人性，畀你撞到享永寧,20250131,2025,125,0.496,52.26
yQX1MseKbh0,【謝賢 - 影壇情聖】佢嘅外表雖花 fit，情場並非全報捷；唔係見親女就溝，從來風流不下流,20260721,2026,986,0.5070993914807302,279.35
Gv-5FWKl3Is,【AI時代畢業哀歌-懷疑人生】由楚原「穿越時空」演繹如來佛祖「指點迷津」,20250720,2025,190,0.5210526315789473,84.34
fuf6qp-uaHA,李小龍係咁噏「黑道術語」，你識幾多？,20251030,2025,417,0.5323741007194245,131.22
jvknMvR2iVs,「阿Sa個阿嫲」原來係李小龍嘅「螢幕初戀」？,20250224,2025,707,0.5374823196605375,174.52
6SwkF4lY6gI,睇10歲嘅李小龍幾咁有「雷氣」！,20250221,2025,708,0.5423728813559322,183.1
GEIQJZJwm1k,【懷念周驄】九十二駕鶴西歸，光影藝悉數留低,20250705,2025,600,0.545,193.38
uMm5I9C7MDQ,【反斗李小龍教死任劍輝】你講：一寸光陰一寸金，寸金難買寸光陰；佢應：借錢遲還打鑊金，立心唔還踢下陰,20250217,2025,1115,0.5479820627802691,296.41
jSQXgyb1vKY,【少年李小龍「性的疑惑」】「咸濕仔」好想好想睇「脫衣舞」！,20250211,2025,720,0.5541666666666667,185.18
X1jILspAmNs,【李琳琳唔止「索」仲好「跳」得】John哥老婆李琳琳，相夫教子好人品；後生索爆又跳得，狂風浪蝶常在側,20250109,2025,380,0.5578947368421052,112.63
eC7uNp3FMvA,【吳楚帆拍《人海孤鴻》認真過頭】李小龍同阿帆叔反晒大面！,20251014,2025,322,0.562111801242236,77.66
389l_ackzDg,【芳芳謝賢齊共舞，應該搵多次都冇】謝賢芳芳昔愛侶，分手多年欣共聚；翩翩起舞牽回憶，人生變幻眼前惜,20250427,2025,454,0.5969162995594713,111.03
wEaQoL1empQ,【鍾玲玲不知那日《踏上愛情路》】情如夜霧遠近看不清楚，一絲愛意你未真心透露；百里路終須走到，今天只距三兩步,20260303,2026,180,0.6,112.61
U36zHkmhn-c,【《孤星血淚1955》中吳楚帆、李小龍之「父子情」】小龍斬柴遇逃犯，身世原來好淒慘；相見愛兒不敢認，賺人熱淚父子情,20250511,2025,501,0.6047904191616766,134.71
Ne7y4GDJl9Q,「李我」點解改老婆藝名做「蕭湘」，「瀟湘」=「纖瘦」？,20250107,2025,799,0.6145181476846058,226.5
9GKnaIpqSRA,【石堅證實李小龍「冇時停」】係芳艷芬先治到佢企定定！,20250119,2025,467,0.6167023554603854,136.13
MDNBEqwzQTA,【聽Gin Lee李幸倪、盧冠廷唱《陪著你走》-人生有感】誰說過陪著你走，說完轉頭就反口；若然共處酸溜溜，餘生不如自己走,20250629,2025,242,0.628099173553719,126.08
eRvrg_rPpdw,【林燕妮黃霑-絕戀】那天愛到無界域，此情可待成追憶,20250708,2025,337,0.6320474777448071,105.6
zDY3f_JU2Mw,【闔府統請嚟柴台】萬眾期待黃子華、張達明、吳鎮宇《鬚根Show》變種版《黐筋Show》強勢登場,20250213,2025,712,0.6418539325842697,198.87
TGfr8DXepFM,【「重現」《人海孤鴻》幕後片段】李小龍同白燕跳返兩part舞,20251011,2025,50,0.66,20.86
EjuEqBFmEec,李小龍同苗可秀1972年嘅《羅馬假期》,20251207,2025,369,0.6639566395663956,90.66
iNmjK7_7Dto,【胡楓係李小龍救命恩人】唔怪得知兩條友咁friend喇！,20250101,2025,238,0.6722689075630253,69.54
4iTUm1J-v0Q,【鄭少秋見證「犀利平」杜平至犀利時刻】有水有水，冇水冇水；要水過水，冇水散水,20250201,2025,695,0.6748201438848921,186.74
swwK7bQDriw,【林鳳胡楓《男親女愛-1963年版》】你呃我氹虛假情，各取所需交易成；道行唔夠易被昆，人財兩失怨無人,20250111,2025,387,0.689922480620155,113.25
WceS1ddqRLI,【聽梅艷芳、張國榮唱《似水流年》-人生有感】生命友情寶貴極，無價之寶世難覓；喜怒哀樂毋回望，似水流年可盡忘,20250613,2025,110,0.7,49.12
mlNSL9Bt5dw,【《人海孤鴻》爭議性議題】孤兒院院長吳楚帆同流氓李小龍喺公眾場所度煲煙？！,20251022,2025,421,0.7007125890736342,145.11
NQ3iktgJ-bM,【聽鄭少秋《狐蝠》有感而唱 -分離無愛也無憾】風箏揚起掀思緒，回想情愛惹人醉，可恨多時成負累,20250604,2025,45,0.7111111111111111,24.45
