video_id,title,upload_date,n_windows,speech_s,content_type,matched_keywords,film_related_core,n_syllables_AB,n_exact_AB,n_windows_AB,agreement_AB
-3BTKFtZldo,【李龍基王青霞鬧劇】有情有義李隆基，一出嚟就娶硬你,20240221,3,63.13,film_clip,李龍基|王青霞,False,145,121,3,0.8344827586206897
-9oY4_qcCfg,【曾江金句的大智慧】獨樂樂不如眾樂樂《孟子•梁惠王下》；當我開心和過癮，也想益埋其他人,20220513,16,139.74,contemporary,,False,391,367,16,0.9386189258312021
-RGj8xb9R8A,【江旻憓急流勇退】發揮生命到極致，另闢蹊徑再奔馳,20240804,4,57.76,contemporary,,False,132,116,4,0.8787878787878788
-ZzrfGa0S0w,【元宵咸湿对联】洞中泉水流不尽，山间清风迎面来；抵死、过瘾、啜核,20220215,13,235.74,contemporary,,False,517,493,11,0.9535783365570599
-agnQ40mEM8,【張衞健式無厘頭】一日一蘋果，爛gag一鑼鑼,20240831,3,51.33,contemporary,,False,160,134,3,0.8375
-duPp9s1JzQ,【梗有一間喺左近】無數香港人嘅集體回憶；中招，梗有一單喺左近；强檢，梗有一棟喺左近；有片重溫,20220312,13,41.27,contemporary,,False,133,130,13,0.9774436090225563
-uB4Z9Vdv3E,永遠懷念嘉玲(1935-21/11/2022),20221123,4,107.17,film_clip,嘉玲,False,340,313,4,0.9205882352941176
01cBqZ4P68A,【悼念一代美男阿倫狄龍】Cool 爆眼神殺死人，世上再無真男神,20240818,3,56.03,contemporary,,False,132,119,3,0.9015151515151515
0Hqy8SIu8QM,【《個個揸住個兜 》】史上最強英國國歌惡搞廣東話版,20220909,4,14.72,parody,惡搞,False,15,10,2,0.6666666666666666
0QZPlWu3n7Q,【人間有情，天地有義】鶼鰈情深，濃情輕滲,20221009,5,66.53,contemporary,,False,183,162,5,0.8852459016393442
0bxiKSqEZlU,【收台播英國國歌《個個揸住個兜 》】集體回憶返晒嚟,20220909,4,21.18,contemporary,,False,56,54,3,0.9642857142857143
0oa0RJE4db8,伍允龍第1部孭飛嘅《惡戰》個陣容勁到無倫,20240529,6,53.7,contemporary,,False,175,159,6,0.9085714285714286
