subset,bin,n_syllables,n_videos,agree_syl,agree_syl_ci_low,agree_syl_ci_high,agree_video_median,agree_video_median_ci_low,agree_video_median_ci_high
film,-n,374,4,0.8743315508021391,0.8157894736842105,0.9286904761904763,0.8729674796747967,0.6363636363636364,0.9534883720930233
film,-ng,587,4,0.9148211243611585,0.8470588235294118,0.9293785310734464,0.8932829888712241,0.7647058823529411,0.9321428571428572
film,-t,208,4,0.8846153846153846,0.8760563380281691,0.9310344827586207,0.8869288606130712,0.875,1.0
film,-k,198,4,0.8939393939393939,0.8791208791208791,0.9777777777777777,0.8918128654970761,0.8780487804878049,1.0
film,-p,49,4,0.8367346938775511,0.6470588235294118,0.9090909090909091,0.8590909090909091,0.6,1.0
film,-m,182,4,0.9010989010989011,0.75,0.943089430894309,0.8418604651162791,0.6666666666666666,0.95
film,open,1631,4,0.8841201716738197,0.8705416116248349,0.9327073552425665,0.8776711499532434,0.8555555555555555,0.9453551912568307
contemporary,-n,35,1,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571
contemporary,-ng,42,1,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286
contemporary,-t,18,1,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
contemporary,-k,44,1,0.9772727272727273,0.9772727272727273,0.9772727272727273,0.9772727272727273,0.9772727272727273,0.9772727272727273
contemporary,-p,4,1,1.0,1.0,1.0,1.0,1.0,1.0
contemporary,-m,30,1,1.0,1.0,1.0,1.0,1.0,1.0
contemporary,open,218,1,0.9403669724770642,0.9403669724770642,0.9403669724770642,0.9403669724770642,0.9403669724770642,0.9403669724770642
