subset,bin,n_syllables,n_videos,agree_syl,agree_syl_ci_low,agree_syl_ci_high,agree_video_median,agree_video_median_ci_low,agree_video_median_ci_high
film,n-,90,4,0.9555555555555556,0.8292682926829268,0.9942196531791907,0.9125,0.8181818181818182,1.0
film,l-,210,4,0.8857142857142857,0.8671625228262396,0.9310344827586207,0.9127579737335836,0.86,0.9333333333333333
film,ng-,40,4,0.825,0.7272727272727273,1.0,0.9166666666666667,0.6923076923076923,1.0
film,zero,550,4,0.8618181818181818,0.8457005361642167,0.9393939393939394,0.853394860726048,0.8,0.9642857142857143
film,gw-/kw-,34,4,0.8235294117647058,0.6875,1.0,0.9642857142857143,0.6666666666666666,1.0
film,g-/k-,426,4,0.9154929577464789,0.8969072164948454,0.9679144385026738,0.908814935064935,0.8421052631578947,0.9821428571428571
film,other,1879,4,0.8914316125598722,0.870722433460076,0.8997995991983968,0.8898418059011732,0.8115942028985508,0.9017412935323383
contemporary,n-,15,1,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333
contemporary,l-,36,1,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222
contemporary,ng-,9,1,1.0,1.0,1.0,1.0,1.0,1.0
contemporary,zero,75,1,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333
contemporary,gw-/kw-,12,1,1.0,1.0,1.0,1.0,1.0,1.0
contemporary,g-/k-,53,1,0.9622641509433962,0.9622641509433962,0.9622641509433962,0.9622641509433962,0.9622641509433962,0.9622641509433962
contemporary,other,191,1,0.93717277486911,0.93717277486911,0.93717277486911,0.93717277486911,0.93717277486911,0.93717277486911
