subset,bin,n_syllables,n_videos,agree_syl,agree_syl_ci_low,agree_syl_ci_high,agree_video_median,agree_video_median_ci_low,agree_video_median_ci_high
film,1,77,2,0.8701298701298701,0.8333333333333334,0.8813559322033898,0.8573446327683616,0.8333333333333334,0.8813559322033898
film,2,69,2,0.8840579710144928,0.8627450980392157,0.9444444444444444,0.9035947712418301,0.8627450980392157,0.9444444444444444
film,3,73,2,0.9178082191780822,0.9056603773584906,0.95,0.9278301886792453,0.9056603773584906,0.95
film,4,76,2,0.8947368421052632,0.8888888888888888,0.9090909090909091,0.898989898989899,0.8888888888888888,0.9090909090909091
film,5,77,2,0.7792207792207793,0.75,0.7868852459016393,0.7684426229508197,0.75,0.7868852459016393
film,6,74,2,0.8648648648648649,0.8,0.8888888888888888,0.8444444444444444,0.8,0.8888888888888888
contemporary,1,86,3,0.8488372093023255,0.8301886792452831,0.9333333333333333,0.8333333333333334,0.8301886792452831,0.9333333333333333
contemporary,2,83,3,0.8554216867469879,0.7857142857142857,0.88,0.8421052631578947,0.7857142857142857,0.88
contemporary,3,65,3,0.8461538461538461,0.7142857142857143,0.9393939393939394,0.8181818181818182,0.7142857142857143,0.9393939393939394
contemporary,4,80,3,0.7625,0.6595744680851063,1.0,0.8421052631578947,0.6595744680851063,1.0
contemporary,5,81,3,0.8024691358024691,0.7755102040816326,0.8823529411764706,0.8,0.7755102040816326,0.8823529411764706
contemporary,6,91,3,0.8131868131868132,0.75,0.9545454545454546,0.8461538461538461,0.75,0.9545454545454546
