window_id,video_id,tier,idx,start,end,dur,parody_flag,song_flag,recitation_flag,film_flag,film_related_core,contemporary_only,matched_keywords,singing_prob,dialogue_film
-3BTKFtZldo_000,-3BTKFtZldo,B,0,0.0,37.15,37.15,0,0,0,1,0,0,film_clip:李龍基|王青霞,0.0111464681103825,1
-3BTKFtZldo_001,-3BTKFtZldo,B,1,37.634,61.566,23.932,0,0,0,1,0,0,film_clip:李龍基|王青霞,,
-3BTKFtZldo_002,-3BTKFtZldo,B,2,68.066,72.062,3.996,0,0,0,1,0,0,film_clip:李龍基|王青霞,,
-9oY4_qcCfg_000,-9oY4_qcCfg,A,0,0.0,16.382,16.382,0,0,0,0,0,1,,,
-9oY4_qcCfg_001,-9oY4_qcCfg,A,1,16.898,25.118,8.22,0,0,0,0,0,1,,,
-9oY4_qcCfg_002,-9oY4_qcCfg,A,2,27.618,31.582,3.964,0,0,0,0,0,1,,,
-9oY4_qcCfg_003,-9oY4_qcCfg,A,3,34.082,64.19,30.108,0,0,0,0,0,1,,,
-9oY4_qcCfg_004,-9oY4_qcCfg,A,4,64.834,77.822,12.988,0,0,0,0,0,1,,,
-9oY4_qcCfg_005,-9oY4_qcCfg,A,5,81.09,86.302,5.212,0,0,0,0,0,1,,,
-9oY4_qcCfg_006,-9oY4_qcCfg,A,6,88.77,92.382,3.612,0,0,0,0,0,1,,,
-9oY4_qcCfg_007,-9oY4_qcCfg,A,7,92.962,98.43,5.468,0,0,0,0,0,1,,,
-9oY4_qcCfg_008,-9oY4_qcCfg,A,8,99.106,112.446,13.34,0,0,0,0,0,1,,,
-9oY4_qcCfg_009,-9oY4_qcCfg,A,9,113.122,119.23,6.108,0,0,0,0,0,1,,,
-9oY4_qcCfg_010,-9oY4_qcCfg,A,10,119.906,124.638,4.732,0,0,0,0,0,1,,,
-9oY4_qcCfg_011,-9oY4_qcCfg,A,11,125.314,136.51,11.196,0,0,0,0,0,1,,,
-9oY4_qcCfg_012,-9oY4_qcCfg,A,12,137.218,151.774,14.556,0,0,0,0,0,1,,,
-9oY4_qcCfg_013,-9oY4_qcCfg,A,13,152.418,156.606,4.188,0,0,0,0,0,1,,,
-9oY4_qcCfg_014,-9oY4_qcCfg,B,14,157.666,164.382,6.716,0,0,0,0,0,1,,,
-9oY4_qcCfg_015,-9oY4_qcCfg,A,15,169.826,173.822,3.996,0,0,0,0,0,1,,,
-RGj8xb9R8A_000,-RGj8xb9R8A,B,0,0.0,37.95,37.95,0,0,0,0,0,1,,,
-RGj8xb9R8A_001,-RGj8xb9R8A,B,1,37.762,49.886,12.124,0,0,0,0,0,1,,,
-RGj8xb9R8A_002,-RGj8xb9R8A,B,2,52.482,59.006,6.524,0,0,0,0,0,1,,,
-RGj8xb9R8A_003,-RGj8xb9R8A,A,3,65.538,69.438,3.9,0,0,0,0,0,1,,,
-ZzrfGa0S0w_000,-ZzrfGa0S0w,B,0,0.802,14.174,13.372,0,0,0,0,0,1,,,
-ZzrfGa0S0w_001,-ZzrfGa0S0w,B,1,14.786,24.702,9.916,0,0,0,0,0,1,,,
-ZzrfGa0S0w_002,-ZzrfGa0S0w,A,2,26.498,36.254,9.756,0,0,0,0,0,1,,,
-ZzrfGa0S0w_003,-ZzrfGa0S0w,A,3,37.858,62.334,24.476,0,0,0,0,0,1,,,
-ZzrfGa0S0w_004,-ZzrfGa0S0w,B,4,63.874,69.598,5.724,0,0,0,0,0,1,,,
-ZzrfGa0S0w_005,-ZzrfGa0S0w,A,5,71.266,89.214,17.948,0,0,0,0,0,1,,,
-ZzrfGa0S0w_006,-ZzrfGa0S0w,B,6,90.754,126.046,35.292,0,0,0,0,0,1,,,
-ZzrfGa0S0w_007,-ZzrfGa0S0w,C,7,126.21,159.998,33.788,0,0,0,0,0,1,,,
-ZzrfGa0S0w_008,-ZzrfGa0S0w,B,8,166.178,206.27,40.092,0,0,0,0,0,1,,,
-ZzrfGa0S0w_009,-ZzrfGa0S0w,C,9,206.466,239.55,33.084,0,0,0,0,0,1,,,
-ZzrfGa0S0w_010,-ZzrfGa0S0w,B,10,239.426,250.654,11.228,0,0,0,0,0,1,,,
-ZzrfGa0S0w_011,-ZzrfGa0S0w,B,11,252.29,258.462,6.172,0,0,0,0,0,1,,,
-ZzrfGa0S0w_012,-ZzrfGa0S0w,A,12,265.474,269.47,3.996,0,0,0,0,0,1,,,
-agnQ40mEM8_000,-agnQ40mEM8,B,0,0.0,21.534,21.534,0,0,0,0,0,1,,,
-agnQ40mEM8_001,-agnQ40mEM8,B,1,21.314,49.214,27.9,0,0,0,0,0,1,,,
-agnQ40mEM8_002,-agnQ40mEM8,B,2,55.714,59.646,3.932,0,0,0,0,0,1,,,
-duPp9s1JzQ_000,-duPp9s1JzQ,A,0,0.0,4.862,4.862,0,0,0,0,0,1,,,
-duPp9s1JzQ_001,-duPp9s1JzQ,A,1,7.938,26.174,18.236,0,0,0,0,0,1,,,
-duPp9s1JzQ_002,-duPp9s1JzQ,B,2,28.866,30.558,1.692,0,0,0,0,0,1,,,
-duPp9s1JzQ_003,-duPp9s1JzQ,A,3,33.154,35.166,2.012,0,0,0,0,0,1,,,
-duPp9s1JzQ_004,-duPp9s1JzQ,A,4,36.386,38.686,2.3,0,0,0,0,0,1,,,
-duPp9s1JzQ_005,-duPp9s1JzQ,A,5,41.442,43.07,1.628,0,0,0,0,0,1,,,
-duPp9s1JzQ_006,-duPp9s1JzQ,A,6,43.81,45.822,2.012,0,0,0,0,0,1,,,
-duPp9s1JzQ_007,-duPp9s1JzQ,A,7,48.674,50.206,1.532,0,0,0,0,0,1,,,
-duPp9s1JzQ_008,-duPp9s1JzQ,A,8,50.85,52.894,2.044,0,0,0,0,0,1,,,
-duPp9s1JzQ_009,-duPp9s1JzQ,A,9,55.746,57.406,1.66,0,0,0,0,0,1,,,
-duPp9s1JzQ_010,-duPp9s1JzQ,A,10,58.306,60.414,2.108,0,0,0,0,0,1,,,
-duPp9s1JzQ_011,-duPp9s1JzQ,B,11,62.05,68.19,6.14,0,0,0,0,0,1,,,
-duPp9s1JzQ_012,-duPp9s1JzQ,A,12,75.202,79.198,3.996,0,0,0,0,0,1,,,
-uB4Z9Vdv3E_000,-uB4Z9Vdv3E,B,0,0.0,38.494,38.494,0,0,0,1,0,0,film_clip:嘉玲,,
-uB4Z9Vdv3E_001,-uB4Z9Vdv3E,B,1,38.498,75.23,36.732,0,0,0,1,0,0,film_clip:嘉玲,,
-uB4Z9Vdv3E_002,-uB4Z9Vdv3E,B,2,75.042,105.694,30.652,0,0,0,1,0,0,film_clip:嘉玲,,
-uB4Z9Vdv3E_003,-uB4Z9Vdv3E,A,3,170.178,174.174,3.996,0,0,0,1,0,0,film_clip:嘉玲,,
01cBqZ4P68A_000,01cBqZ4P68A,B,0,0.0,35.774,35.774,0,0,0,0,0,1,,,
01cBqZ4P68A_001,01cBqZ4P68A,B,1,35.682,54.014,18.332,0,0,0,0,0,1,,,
01cBqZ4P68A_002,01cBqZ4P68A,A,2,60.546,64.446,3.9,0,0,0,0,0,1,,,
0Hqy8SIu8QM_000,0Hqy8SIu8QM,A,0,64.29,69.566,5.276,1,0,0,0,0,0,parody:惡搞,,
0Hqy8SIu8QM_001,0Hqy8SIu8QM,C,1,71.618,73.406,1.788,1,0,0,0,0,0,parody:惡搞,,
0Hqy8SIu8QM_002,0Hqy8SIu8QM,C,2,78.21,84.67,6.46,1,0,0,0,0,0,parody:惡搞,,
0Hqy8SIu8QM_003,0Hqy8SIu8QM,A,3,90.114,94.11,3.996,1,0,0,0,0,0,parody:惡搞,,
0QZPlWu3n7Q_000,0QZPlWu3n7Q,A,0,0.674,10.398,9.724,0,0,0,0,0,1,,,
0QZPlWu3n7Q_001,0QZPlWu3n7Q,A,1,30.21,41.374,11.164,0,0,0,0,0,1,,,
0QZPlWu3n7Q_002,0QZPlWu3n7Q,A,2,43.778,82.398,38.62,0,0,0,0,0,1,,,
0QZPlWu3n7Q_003,0QZPlWu3n7Q,B,3,85.026,91.55,6.524,0,0,0,0,0,1,,,
0QZPlWu3n7Q_004,0QZPlWu3n7Q,A,4,97.954,101.95,3.996,0,0,0,0,0,1,,,
0bxiKSqEZlU_000,0bxiKSqEZlU,A,0,0.706,9.342,8.636,0,0,0,0,0,1,,,
0bxiKSqEZlU_001,0bxiKSqEZlU,C,1,56.674,63.39,6.716,0,0,0,0,0,1,,,
