subset,bin,n_syllables,n_videos,agree_syl,agree_syl_ci_low,agree_syl_ci_high,agree_video_median,agree_video_median_ci_low,agree_video_median_ci_high
film,-n,5149,130,0.7892794717420858,0.760864723001001,0.8172877230807783,0.8328343313373254,0.7981481481481482,0.8679245283018868
film,-ng,7352,130,0.8273939064200218,0.7990746139537263,0.8534518489589545,0.875,0.8266666666666667,0.8873015873015873
film,-t,2262,130,0.7718832891246684,0.7420817045875464,0.8000890710222274,0.7817460317460317,0.7363386441965067,0.8125
film,-k,2823,130,0.7984413744243712,0.7655682940396229,0.8301632815090125,0.8469785575048733,0.8136574074074074,0.88
film,-p,733,128,0.7053206002728513,0.6564202164804469,0.7539521121065074,0.7,0.6,0.75
film,-m,2139,130,0.7807386629266012,0.743223156014894,0.8197245078332147,0.8681159420289855,0.8461032388663967,0.9
film,open,24883,130,0.7567415504561347,0.7225991991907262,0.7916974383231398,0.848655090228124,0.8162499999999999,0.8681023218224115
contemporary,-n,13914,403,0.8620094868477792,0.8473440793762329,0.8755204315477462,0.9,0.8846153846153846,0.9166666666666666
contemporary,-ng,18266,406,0.8861819774444323,0.8747977245941738,0.8966371212367217,0.9203174603174603,0.9144599303135889,0.9312505166509212
contemporary,-t,6232,404,0.832798459563543,0.8167787952731524,0.8475244887638979,0.8461538461538461,0.8333333333333334,0.8620689655172413
contemporary,-k,7653,406,0.8714229713837711,0.8587636664415021,0.8836076640620237,0.9124040920716112,0.9023809523809524,0.9269563008130082
contemporary,-p,1707,388,0.7902753368482718,0.7653835236392759,0.8134964675122385,0.788888888888889,0.7142857142857143,0.8366666666666667
contemporary,-m,5621,407,0.8797367016545099,0.8627669607794384,0.8947858137066724,0.9655172413793104,0.9411764705882353,1.0
contemporary,open,61978,407,0.8558036722708058,0.8432349265968747,0.8681301524026522,0.8857142857142857,0.88,0.8947368421052632
