subset,bin,n_syllables,n_videos,agree_syl,agree_syl_ci_low,agree_syl_ci_high,agree_video_median,agree_video_median_ci_low,agree_video_median_ci_high
film,n-,1655,130,0.7468277945619335,0.6935457429931254,0.8045913263014177,0.9173497267759563,0.872983870967742,1.0
film,l-,3092,126,0.7564683053040103,0.7208423183267407,0.7892233677198037,0.8,0.7647058823529411,0.8333333333333334
film,ng-,1029,130,0.6919339164237124,0.6402420783823223,0.7524028587426255,1.0,0.8333333333333334,1.0
film,zero,7511,130,0.7453068832379177,0.7154774506588159,0.775719155188795,0.81125,0.7773109243697479,0.8307692307692308
film,gw-/kw-,800,130,0.85,0.8134715335234376,0.8883645036962152,1.0,0.9411764705882353,1.0
film,g-/k-,6439,130,0.7845938810374282,0.746385399664435,0.8206485578825483,0.8377192982456141,0.815031503150315,0.8602150537634409
film,other,24815,130,0.7877090469474108,0.7585411804359921,0.8164839380488249,0.8542471042471043,0.81875,0.8707978746980475
contemporary,n-,3792,404,0.8910864978902954,0.8730227367479506,0.9073577317402026,1.0,1.0,1.0
contemporary,l-,5456,390,0.8212976539589443,0.8048415038935751,0.8378899134446722,0.875,0.8571428571428571,0.9
contemporary,ng-,2164,401,0.8433456561922366,0.8172339410013155,0.8692271231442354,1.0,1.0,1.0
contemporary,zero,20845,406,0.8452866394818901,0.8325052966802048,0.8569883125520296,0.8636363636363636,0.851063829787234,0.8768939393939394
contemporary,gw-/kw-,2440,403,0.9184426229508197,0.9041093083314619,0.9318186456400741,1.0,1.0,1.0
contemporary,g-/k-,15841,407,0.8698945773625403,0.85733665969965,0.8818331450995456,0.8888888888888888,0.8723404255319149,0.9021739130434783
contemporary,other,64833,407,0.8645134422284948,0.8533869990125632,0.8758226465627313,0.896551724137931,0.8907073931915199,0.9057971014492754
