subset,bin,n_syllables,n_videos,agree_syl,agree_syl_ci_low,agree_syl_ci_high,agree_video_median,agree_video_median_ci_low,agree_video_median_ci_high
film,<5,2000,43,0.532,0.4110581112743644,0.6461061121323529,0.5,0.3802083333333333,0.6666666666666666
film,5-10,17845,123,0.8010647240123284,0.7647572510730463,0.8313958061863965,0.85,0.8461538461538461,0.864516129032258
film,10-15,13487,93,0.8282049380885297,0.7926410473051679,0.8613758626281418,0.8955223880597015,0.8749737394957984,0.9067055393586005
film,15-20,5732,60,0.7545359385903698,0.6873717210583423,0.818526147088551,0.8765243902439024,0.8333333333333334,0.9019237375472346
film,>20,6277,66,0.6866337422335511,0.598542260535187,0.7861971067352526,0.8546660636212875,0.8111111111111111,0.8819917929292926
contemporary,<5,6325,109,0.7675889328063241,0.718156170637597,0.805268855111209,0.7857142857142857,0.7142857142857143,0.8251748251748252
contemporary,5-10,32316,287,0.8524879316747123,0.8317354159083078,0.8696273935257258,0.8833333333333333,0.875,0.8918918918918919
contemporary,10-15,33324,277,0.8598007442083784,0.8429047388328844,0.8741636503464286,0.9037433155080213,0.887987012987013,0.9105691056910569
contemporary,15-20,16875,172,0.8631111111111112,0.8368910517485814,0.8854720783579122,0.9117647058823529,0.8958949096880131,0.925
contemporary,>20,26531,252,0.895329991330896,0.8757719457986404,0.9106881388005672,0.9424952760328891,0.9322033898305084,0.9552552552552553
