subset,bin,n_syllables,n_videos,agree_syl,agree_syl_ci_low,agree_syl_ci_high,agree_video_median,agree_video_median_ci_low,agree_video_median_ci_high
film,1,10009,130,0.7779998001798382,0.7417231012551637,0.8140636385926782,0.8426097711811997,0.8074074074074074,0.8639169472502806
film,2,6719,130,0.8155975591605894,0.7834847166707573,0.8484437599665464,0.8888888888888888,0.8633540372670807,0.9007042253521127
film,3,7452,130,0.7489264626945786,0.7179074328205851,0.7803605593147813,0.804865150713908,0.7712418300653594,0.8404255319148937
film,4,7511,130,0.8121421914525363,0.7865604152844263,0.8369339456596852,0.8678774928774928,0.8404074702886248,0.8888888888888888
film,5,4718,129,0.7045358202628232,0.6618132471703794,0.746950560700578,0.8,0.7691176470588236,0.8181818181818182
film,6,8932,130,0.7716077026421854,0.743420834420079,0.7968438970552026,0.7933771209633278,0.7678491243825774,0.8164983164983165
contemporary,1,26106,407,0.8799892744962844,0.867057952654079,0.8921107862711638,0.92,0.9105691056910569,0.9285714285714286
contemporary,2,16713,407,0.8927780769460899,0.8798215442128913,0.9052660105364908,0.9369369369369369,0.9304347826086956,0.9473684210526315
contemporary,3,18641,407,0.830266616597822,0.8180531031438494,0.8428325795233896,0.8571428571428571,0.8431372549019608,0.8688524590163934
contemporary,4,19599,406,0.8763202204194092,0.864536378107333,0.8868176077898978,0.9090909090909091,0.9,0.9208437761069339
contemporary,5,10276,404,0.8364149474503698,0.8189868902370374,0.852888259353865,0.875,0.8571428571428571,0.8888888888888888
contemporary,6,24036,406,0.8418206024296888,0.8296203647089282,0.8528987576937229,0.85,0.8393548387096774,0.8648648648648649
