window_id,rms_vocals,rms_rest,var_db,demucs_ok,error
-3BTKFtZldo_000,1.75938208e-01,7.46344194e-02,7.4484,1,
-3BTKFtZldo_001,1.48637077e-01,8.83370090e-02,4.5197,1,
-3BTKFtZldo_002,1.27223869e-01,1.20086018e-01,0.5015,1,
-9oY4_qcCfg_000,1.57830602e-01,4.26549663e-03,31.3644,1,
-9oY4_qcCfg_001,1.27230810e-01,1.38224860e-02,19.2801,1,
-9oY4_qcCfg_002,1.87766659e-01,1.52579315e-02,21.8025,1,
-9oY4_qcCfg_003,1.53086855e-01,1.72899854e-02,18.9429,1,
-9oY4_qcCfg_004,9.07581696e-02,1.17007357e-02,17.7935,1,
-9oY4_qcCfg_005,1.76768156e-01,1.15039111e-02,23.7312,1,
-9oY4_qcCfg_006,1.19470440e-01,1.37075618e-02,18.8060,1,
-9oY4_qcCfg_007,1.18136863e-01,1.90840316e-02,15.8343,1,
-9oY4_qcCfg_008,1.50024669e-01,1.38896385e-02,20.6694,1,
-9oY4_qcCfg_009,2.01134270e-01,1.44401044e-02,22.8783,1,
-9oY4_qcCfg_010,2.07711324e-01,1.50002351e-02,22.8272,1,
-9oY4_qcCfg_011,1.00780984e-01,1.59810417e-02,15.9955,1,
-9oY4_qcCfg_012,1.10299716e-01,1.53987008e-02,17.1018,1,
-9oY4_qcCfg_013,1.25400647e-01,1.46146455e-02,18.6702,1,
-9oY4_qcCfg_014,7.29827654e-02,6.33092941e-03,21.2351,1,
-9oY4_qcCfg_015,3.35878716e-02,2.42372130e-04,42.8340,1,
-RGj8xb9R8A_000,1.97250426e-01,4.73792998e-02,12.3886,1,
