window_id,rms_vocals,rms_rest,var_db,demucs_ok,error
-3BTKFtZldo_000,1.75978368e-01,7.44806167e-02,7.4683,1,
-3BTKFtZldo_001,1.48396703e-01,8.83180967e-02,4.5075,1,
-3BTKFtZldo_002,1.27381760e-01,1.20007196e-01,0.5180,1,
-9oY4_qcCfg_000,1.57848264e-01,4.26319801e-03,31.3701,1,
-9oY4_qcCfg_001,1.27331019e-01,1.40698546e-02,19.1329,1,
-9oY4_qcCfg_002,1.87699834e-01,1.53806421e-02,21.7298,1,
-9oY4_qcCfg_003,1.53102533e-01,1.72469375e-02,18.9654,1,
-9oY4_qcCfg_004,9.07752112e-02,1.16547249e-02,17.8293,1,
-9oY4_qcCfg_005,1.76858649e-01,1.15923132e-02,23.6691,1,
-9oY4_qcCfg_006,1.19383877e-01,1.34744985e-02,18.9487,1,
-9oY4_qcCfg_007,1.18198667e-01,1.91661219e-02,15.8016,1,
-9oY4_qcCfg_008,1.49961754e-01,1.31346973e-02,21.1512,1,
-9oY4_qcCfg_009,2.01184945e-01,1.44729674e-02,22.8608,1,
-9oY4_qcCfg_010,2.07791952e-01,1.22597614e-02,24.5829,1,
-9oY4_qcCfg_011,1.01155101e-01,1.58447558e-02,16.1020,1,
-9oY4_qcCfg_012,1.10345543e-01,1.48589276e-02,17.4153,1,
-9oY4_qcCfg_013,1.25450830e-01,1.44589771e-02,18.7667,1,
-9oY4_qcCfg_014,7.23273630e-02,9.00631779e-03,18.0951,1,
-9oY4_qcCfg_015,3.35919284e-02,2.54526721e-04,42.4100,1,
-RGj8xb9R8A_000,1.97276247e-01,4.77154673e-02,12.3283,1,
-RGj8xb9R8A_001,2.07060995e-01,5.42032280e-02,11.6415,1,
-RGj8xb9R8A_002,1.78259760e-01,1.17276808e-01,3.6368,1,
-RGj8xb9R8A_003,1.33169567e-01,6.48536787e-02,6.2494,1,
-ZzrfGa0S0w_000,3.86863875e-02,3.04498286e-04,42.0795,1,
-ZzrfGa0S0w_001,4.40681183e-02,5.20406087e-04,38.5556,1,
-ZzrfGa0S0w_002,3.75273966e-02,7.00786484e-04,34.5753,1,
-ZzrfGa0S0w_003,3.43841312e-02,3.26362191e-04,40.4532,1,
-ZzrfGa0S0w_004,4.43820221e-02,3.47803698e-04,42.1175,1,
-ZzrfGa0S0w_005,4.34366388e-02,3.49146385e-04,41.8970,1,
-ZzrfGa0S0w_006,4.85944392e-02,4.28356248e-04,41.0956,1,
-ZzrfGa0S0w_007,4.15859472e-02,4.50909318e-04,39.2971,1,
-ZzrfGa0S0w_008,4.11184311e-02,3.66225347e-04,41.0058,1,
-ZzrfGa0S0w_009,4.40195105e-02,4.03542352e-04,40.7551,1,
-ZzrfGa0S0w_010,4.99616913e-02,5.00510841e-04,39.9845,1,
-ZzrfGa0S0w_011,6.77737464e-02,6.27152139e-03,20.6738,1,
-ZzrfGa0S0w_012,3.35024286e-02,2.38372457e-04,42.9564,1,
-agnQ40mEM8_000,1.98318682e-01,1.13106682e-03,44.8775,1,
-agnQ40mEM8_001,1.96855273e-01,5.83445083e-02,10.5629,1,
-agnQ40mEM8_002,1.31936041e-01,6.42844851e-02,6.2451,1,
-duPp9s1JzQ_000,7.47694419e-02,4.39165582e-02,4.6219,1,
-duPp9s1JzQ_001,6.41480063e-02,5.06530627e-04,42.0515,1,
-duPp9s1JzQ_002,7.79762329e-02,9.57019873e-04,38.2208,1,
-duPp9s1JzQ_003,7.60543352e-02,6.08419222e-04,41.9384,1,
-duPp9s1JzQ_004,8.07450477e-02,8.48570737e-04,39.5686,1,
-duPp9s1JzQ_005,9.38757426e-02,6.86153820e-04,42.7226,1,
-duPp9s1JzQ_006,8.03851550e-02,2.57451846e-03,29.8896,1,
-duPp9s1JzQ_007,7.29875518e-02,6.43504244e-04,41.0939,1,
-duPp9s1JzQ_008,8.37432091e-02,1.57034591e-03,34.5391,1,
-duPp9s1JzQ_009,8.58105030e-02,9.04215771e-04,39.5454,1,
-duPp9s1JzQ_010,6.15123146e-02,3.64711422e-04,44.5403,1,
-duPp9s1JzQ_011,6.77756687e-02,6.50531863e-03,20.3561,1,
-duPp9s1JzQ_012,3.36011353e-02,2.24640290e-04,43.4973,1,
-uB4Z9Vdv3E_000,1.04586181e-01,2.53035590e-02,12.3259,1,
-uB4Z9Vdv3E_001,1.05568225e-01,3.95502398e-02,8.5277,1,
-uB4Z9Vdv3E_002,1.15370236e-01,3.96381773e-02,9.2796,1,
-uB4Z9Vdv3E_003,3.35337827e-02,2.15455227e-04,43.8425,1,
01cBqZ4P68A_000,1.77260618e-01,4.23784382e-02,12.4293,1,
01cBqZ4P68A_001,1.77210341e-01,7.97423094e-02,6.9360,1,
01cBqZ4P68A_002,1.32400897e-01,6.42631020e-02,6.2786,1,
0Hqy8SIu8QM_000,2.29678522e-01,1.07525056e-01,6.5922,1,
0Hqy8SIu8QM_001,2.85843776e-01,3.07894284e-02,19.3545,1,
0Hqy8SIu8QM_002,7.40842230e-02,8.42987049e-03,18.8781,1,
0Hqy8SIu8QM_003,3.35342336e-02,2.58019755e-04,42.2767,1,
0QZPlWu3n7Q_000,1.01687448e-01,5.79124631e-04,44.8899,1,
0QZPlWu3n7Q_001,1.38465094e-01,7.72288452e-02,5.0712,1,
0QZPlWu3n7Q_002,1.05252405e-01,6.77172388e-02,3.8307,1,
0QZPlWu3n7Q_003,7.03895703e-02,1.99697956e-02,10.9427,1,
0QZPlWu3n7Q_004,3.34402325e-02,2.29877626e-04,43.2555,1,
0bxiKSqEZlU_000,8.70054133e-02,9.58609056e-04,39.1581,1,
0bxiKSqEZlU_001,1.09114791e-01,1.44292498e-03,37.5728,1,
0bxiKSqEZlU_002,7.28320489e-02,3.54106737e-04,46.2638,1,
0bxiKSqEZlU_003,3.35429714e-02,2.23030916e-04,43.5447,1,
0oa0RJE4db8_000,1.56320685e-01,2.64275006e-02,15.4392,1,
0oa0RJE4db8_001,1.59194203e-01,5.10570556e-02,9.8774,1,
0oa0RJE4db8_002,1.55219544e-01,6.79201843e-02,7.1790,1,
0oa0RJE4db8_003,1.51784228e-01,4.84703439e-02,9.9150,1,
0oa0RJE4db8_004,1.68922854e-01,9.15947995e-02,5.3164,1,
0oa0RJE4db8_005,1.33656819e-01,6.49642498e-02,6.2663,1,
0tOUk3VfuGg_000,8.57622287e-02,1.29090772e-02,16.4480,1,
0tOUk3VfuGg_001,5.92880946e-02,2.68902983e-02,6.8674,1,
0tOUk3VfuGg_002,7.12379910e-02,3.70200460e-02,5.6855,1,
0tOUk3VfuGg_003,5.36186100e-02,4.48276369e-02,1.5554,1,
0tOUk3VfuGg_004,6.49982477e-02,4.16447852e-02,3.8668,1,
0tOUk3VfuGg_005,6.51426801e-02,4.07969327e-02,4.0648,1,
0tOUk3VfuGg_006,7.50421830e-02,4.32736665e-02,4.7816,1,
0tOUk3VfuGg_007,9.03806044e-02,4.36011674e-02,6.3315,1,
0tOUk3VfuGg_008,7.74645479e-02,4.29106285e-02,5.1308,1,
0tOUk3VfuGg_009,7.30352810e-02,3.73303364e-02,5.8294,1,
0tOUk3VfuGg_010,7.27589518e-02,3.68528018e-02,5.9083,1,
0tOUk3VfuGg_011,8.76809625e-02,4.38745421e-02,6.0139,1,
0tOUk3VfuGg_012,7.64856489e-02,4.22366646e-02,5.1578,1,
0tOUk3VfuGg_013,7.69257684e-02,3.34063658e-02,7.2449,1,
