window_id,clap_sing,clap_speak,clap_logit_diff,clap_ok,error
v00_000,0.0,1.0,-1.0,1,
v00_001,0.025641,0.974359,-0.948718,1,
v00_002,0.051282,0.948718,-0.897436,1,
v00_003,0.076923,0.923077,-0.846154,1,
v01_000,0.102564,0.897436,-0.794872,1,
v01_001,0.128205,0.871795,-0.74359,1,
v01_002,0.153846,0.846154,-0.692308,1,
v01_003,0.179487,0.820513,-0.641026,1,
v02_000,0.205128,0.794872,-0.589744,1,
v02_001,0.230769,0.769231,-0.538462,1,
v02_002,0.25641,0.74359,-0.48718,1,
v02_003,0.282051,0.717949,-0.435898,1,
v03_000,0.307692,0.692308,-0.384616,1,
v03_001,0.333333,0.666667,-0.333334,1,
v03_002,0.358974,0.641026,-0.282052,1,
v03_003,0.384615,0.615385,-0.23077,1,
v04_000,0.410256,0.589744,-0.179488,1,
v04_001,0.435897,0.564103,-0.128206,1,
v04_002,0.461538,0.538462,-0.076924,1,
v04_003,0.487179,0.512821,-0.025642,1,
v05_000,0.512821,0.487179,0.025642,1,
v05_001,0.538462,0.461538,0.076924,1,
v05_002,0.564103,0.435897,0.128206,1,
v05_003,0.589744,0.410256,0.179488,1,
v06_000,0.615385,0.384615,0.23077,1,
v06_001,0.641026,0.358974,0.282052,1,
v06_002,0.666667,0.333333,0.333334,1,
v06_003,0.692308,0.307692,0.384616,1,
v07_000,0.717949,0.282051,0.435898,1,
v07_001,0.74359,0.25641,0.48718,1,
v07_002,0.769231,0.230769,0.538462,1,
v07_003,0.794872,0.205128,0.589744,1,
v08_000,0.820513,0.179487,0.641026,1,
v08_001,0.846154,0.153846,0.692308,1,
v08_002,0.871795,0.128205,0.74359,1,
v08_003,0.897436,0.102564,0.794872,1,
v09_000,0.923077,0.076923,0.846154,1,
v09_001,0.948718,0.051282,0.897436,1,
v09_002,0.974359,0.025641,0.948718,1,
v09_003,1.0,0.0,1.0,1,
w_fail,,,,0,synthetic_error
w_orphan_clap,0.55,0.45,0.1,1,
