window_id,singing_prob,flag_sing
v00_000,0.0,0
v00_001,0.179487,0
v00_002,0.358974,0
v00_003,0.538462,0
v01_000,0.717949,0
v01_001,0.897436,1
v01_002,0.051282,0
v01_003,0.230769,0
v02_000,0.410256,0
v02_001,0.589744,0
v02_002,0.769231,0
v02_003,0.948718,0
v03_000,0.102564,0
v03_001,0.282051,0
v03_002,0.461538,0
v03_003,0.641026,0
v04_000,0.820513,0
v04_001,1.0,0
v04_002,0.153846,0
v04_003,0.333333,0
v05_000,0.512821,1
v05_001,0.692308,0
v05_002,0.871795,0
v05_003,0.025641,0
v06_000,0.205128,0
v06_001,0.384615,0
v06_002,0.564103,0
v06_003,0.74359,0
v07_000,0.923077,0
v07_001,0.076923,0
v07_002,0.25641,0
v07_003,0.435897,0
v08_000,0.615385,0
v08_001,0.794872,0
v08_002,0.974359,0
v08_003,0.128205,1
v09_000,0.307692,0
v09_001,0.487179,0
v09_002,0.666667,0
v09_003,0.846154,0
w_fail,0.1,0
w_quality_only,0.99,1
