window_id,var_db,demucs_ok
v00_000,5.0,1
v00_001,5.3,1
v00_002,5.6,1
v00_003,5.9,1
v01_000,6.2,1
v01_001,6.5,1
v01_002,6.8,1
v01_003,7.1,1
v02_000,7.4,1
v02_001,7.7,1
v02_002,8.0,1
v02_003,8.3,1
v03_000,8.6,1
v03_001,8.9,1
v03_002,9.2,1
v03_003,9.5,1
v04_000,9.8,1
v04_001,10.1,1
v04_002,10.4,1
v04_003,10.7,1
v05_000,11.0,1
v05_001,11.3,1
v05_002,11.6,1
v05_003,11.9,1
v06_000,12.2,1
v06_001,12.5,1
v06_002,12.8,1
v06_003,13.1,1
v07_000,13.4,1
v07_001,13.7,1
v07_002,14.0,1
v07_003,14.3,1
v08_000,14.6,1
v08_001,14.9,1
v08_002,15.2,1
v08_003,15.5,1
v09_000,15.8,1
v09_001,16.1,1
v09_002,16.4,1
v09_003,16.7,1
w_fail,1.0,1
