window_id,video_id,film_flag
v00_000,v00,1
v00_001,v00,1
v00_002,v00,1
v00_003,v00,1
v01_000,v01,1
v01_001,v01,1
v01_002,v01,1
v01_003,v01,1
v02_000,v02,1
v02_001,v02,1
v02_002,v02,1
v02_003,v02,1
v03_000,v03,1
v03_001,v03,1
v03_002,v03,1
v03_003,v03,1
v04_000,v04,1
v04_001,v04,1
v04_002,v04,1
v04_003,v04,1
v05_000,v05,1
v05_001,v05,1
v05_002,v05,1
v05_003,v05,1
v06_000,v06,1
v06_001,v06,1
v06_002,v06,1
v06_003,v06,1
v07_000,v07,1
v07_001,v07,1
v07_002,v07,1
v07_003,v07,1
v08_000,v08,0
v08_001,v08,0
v08_002,v08,0
v08_003,v08,0
v09_000,v09,0
v09_001,v09,0
v09_002,v09,0
v09_003,v09,0
w_fail,wfail,0
