video_id,title,upload_date,n_windows,speech_s,upload_dt,year,period,n_syllables,mean_agreement,n_exact
-3BTKFtZldo,【李龍基王青霞鬧劇】有情有義李隆基，一出嚟就娶硬你,20240221,3,63.13,2024-02-21,2024,pre-2025,145,0.8344827586206897,121.0
-9oY4_qcCfg,【曾江金句的大智慧】獨樂樂不如眾樂樂《孟子•梁惠王下》；當我開心和過癮，也想益埋其他人,20220513,16,139.74,2022-05-13,2022,pre-2025,391,0.9386189258312021,367.0
-RGj8xb9R8A,【江旻憓急流勇退】發揮生命到極致，另闢蹊徑再奔馳,20240804,4,57.76,2024-08-04,2024,pre-2025,132,0.8787878787878788,116.0
-ZzrfGa0S0w,【元宵咸湿对联】洞中泉水流不尽，山间清风迎面来；抵死、过瘾、啜核,20220215,13,235.74,2022-02-15,2022,pre-2025,517,0.9535783365570599,493.0
-agnQ40mEM8,【張衞健式無厘頭】一日一蘋果，爛gag一鑼鑼,20240831,3,51.33,2024-08-31,2024,pre-2025,160,0.8375,134.0
-duPp9s1JzQ,【梗有一間喺左近】無數香港人嘅集體回憶；中招，梗有一單喺左近；强檢，梗有一棟喺左近；有片重溫,20220312,13,41.27,2022-03-12,2022,pre-2025,133,0.9774436090225563,130.0
-uB4Z9Vdv3E,永遠懷念嘉玲(1935-21/11/2022),20221123,4,107.17,2022-11-23,2022,pre-2025,340,0.9205882352941176,313.0
01cBqZ4P68A,【悼念一代美男阿倫狄龍】Cool 爆眼神殺死人，世上再無真男神,20240818,3,56.03,2024-08-18,2024,pre-2025,132,0.9015151515151515,119.0
0Hqy8SIu8QM,【《個個揸住個兜 》】史上最強英國國歌惡搞廣東話版,20220909,4,14.72,2022-09-09,2022,pre-2025,15,0.6666666666666666,10.0
0QZPlWu3n7Q,【人間有情，天地有義】鶼鰈情深，濃情輕滲,20221009,5,66.53,2022-10-09,2022,pre-2025,183,0.8852459016393442,162.0
0bxiKSqEZlU,【收台播英國國歌《個個揸住個兜 》】集體回憶返晒嚟,20220909,4,21.18,2022-09-09,2022,pre-2025,56,0.9642857142857143,54.0
0oa0RJE4db8,伍允龍第1部孭飛嘅《惡戰》個陣容勁到無倫,20240529,6,53.7,2024-05-29,2024,pre-2025,175,0.9085714285714286,159.0
0tOUk3VfuGg,【蓮香樓結業】成也老餅，敗也老餅,20220824,17,240.13,2022-08-24,2022,pre-2025,720,0.9027777777777778,650.0
0xkI0AW6xfQ,【四屆亞洲影后林黛的人生(上)】成名之路：一抵巔峰甚艱難，再抵巔峰非等閒；三抵巔峰難上難，四抵巔峰人驚嘆,20241225,20,479.03,2024-12-25,2024,pre-2025,1411,0.8858965272856131,1250.0
10G-1WZq5jc,【四屆亞洲影后林黛的人生(下)】走上絕路：身處高峰，最感虛空；面對機遇沒猶豫，面對逆境卻躊躇,20241225,19,463.39,2024-12-25,2024,pre-2025,1333,0.8912228057014253,1188.0
1Hj6ncrJr0c,【沙田穗禾苑「圍網」拆卸前後】這代表帶走了一切問題嗎？,20251208,6,15.23,2025-12-08,2025,2025+,45,0.8888888888888888,40.0
1Mz-sKyoEy8,【一生中最愛】佛山順德順峰山公園花海前獻唱,20230216,5,24.54,2023-02-16,2023,pre-2025,42,0.8571428571428571,36.0
1VbNiBxwg9M,【齊來跟林鄭學嘢】第五波疫情處於高峰平台期，仍然上升或正下降，暫時言之尚早。識得用咁嘅口吻，就唔使畀人成日話「唔嫁又嫁」、「反口覆舌」la！,20220313,21,175.26,2022-03-13,2022,pre-2025,562,0.9555160142348754,537.0
1W1EWr_0bg8,【告別球王比利】《球王的哀與頌》,20221230,7,91.78,2022-12-30,2022,pre-2025,200,0.925,185.0
1WefYlPx6ok,【廣東話講呢啲】叫雞出處 - 原來「叫雞」唔關「雞」事！點解「干犯嫖娼」講做「衰叫雞」？,20220919,15,140.22,2022-09-19,2022,pre-2025,439,0.9111617312072893,400.0
1qtodTd6UME,今時今日「想襟撈」就要聽諸葛亮講「知所乜乜」、「知所物物」,20240817,3,69.43,2024-08-17,2024,pre-2025,183,0.8633879781420765,158.0
1uc4tqpk9o0,【林鳳嗲死人冇命賠】關關雎鳩非講粗口，窈窕淑女人人想溝；溝之不得講嘢甩咳，再溝不得經脈閉塞,20241204,9,120.58,2024-12-04,2024,pre-2025,350,0.6314285714285715,221.0
238-IIxY3Pw,【天國一方III】謹此向新冠疫情期間作出無私奉獻的人士致敬；重編《天各一方》；獨白感悟生死人生、歌詞洗滌心靈思緒,20220519,14,219.84,2022-05-19,2022,pre-2025,596,0.8406040268456376,501.0
2VLM3MhnyEE,【諸事八卦】呢鑊，你孭鑊！This Wok; You Carry Wok！同「鑊」有咩關係？「孭鑊」鬼佬點講？,20220129,11,172.13,2022-01-29,2022,pre-2025,536,0.9067164179104478,486.0
2VmuNpNnUEU,【蘇東坡給世人的「人生啟示」】寄蜉蝣於天地，渺滄海之一粟,20251012,4,51.87,2025-10-12,2025,2025+,167,0.8502994011976048,142.0
2Y6itphxVyc,【深度懷念至愛林鳳】大江東去不復返， 似水流年莫輕嘆,20241110,9,37.47,2024-11-10,2024,pre-2025,42,0.8571428571428571,36.0
